Algorithm: cat2
Final accuracy: 0.9475
Final adversarial accuracy: 0.8113

Accuracy progression:
Round 1: 0.7075
Round 2: 0.8425
Round 3: 0.9012
Round 4: 0.9350
Round 5: 0.9325
Round 6: 0.9375
Round 7: 0.9413
Round 8: 0.9513
Round 9: 0.9463
Round 10: 0.9413
Round 11: 0.9337
Round 12: 0.9563
Round 13: 0.9450
Round 14: 0.9487
Round 15: 0.9237
Round 16: 0.9450
Round 17: 0.9437
Round 18: 0.9437
Round 19: 0.9437
Round 20: 0.9475
Round 21: 0.9500
Round 22: 0.9413
Round 23: 0.9487
Round 24: 0.9487
Round 25: 0.9500
Round 26: 0.9563
Round 27: 0.9463
Round 28: 0.9513
Round 29: 0.9475
Round 30: 0.9475
Round 31: 0.9475
Round 32: 0.9463
Round 33: 0.9450
Round 34: 0.9450
Round 35: 0.9450
Round 36: 0.9463
Round 37: 0.9463
Round 38: 0.9463
Round 39: 0.9437
Round 40: 0.9463
Round 41: 0.9463
Round 42: 0.9463
Round 43: 0.9463
Round 44: 0.9463
Round 45: 0.9475
Round 46: 0.9463
Round 47: 0.9475
Round 48: 0.9475
Round 49: 0.9475
Round 50: 0.9475

Adversarial accuracy progression:
Round 1: 0.1663
Round 2: 0.4750
Round 3: 0.7288
Round 4: 0.7800
Round 5: 0.7950
Round 6: 0.8125
Round 7: 0.8200
Round 8: 0.7987
Round 9: 0.8438
Round 10: 0.8638
Round 11: 0.8350
Round 12: 0.8313
Round 13: 0.8387
Round 14: 0.8662
Round 15: 0.8500
Round 16: 0.8313
Round 17: 0.8175
Round 18: 0.8175
Round 19: 0.7725
Round 20: 0.8000
Round 21: 0.7925
Round 22: 0.8200
Round 23: 0.8237
Round 24: 0.8375
Round 25: 0.8375
Round 26: 0.8387
Round 27: 0.8375
Round 28: 0.8363
Round 29: 0.8325
Round 30: 0.8213
Round 31: 0.8100
Round 32: 0.8163
Round 33: 0.8100
Round 34: 0.8100
Round 35: 0.8137
Round 36: 0.8150
Round 37: 0.8200
Round 38: 0.8163
Round 39: 0.8100
Round 40: 0.8125
Round 41: 0.8087
Round 42: 0.8125
Round 43: 0.8150
Round 44: 0.8013
Round 45: 0.8087
Round 46: 0.8100
Round 47: 0.8025
Round 48: 0.8100
Round 49: 0.8050
Round 50: 0.8113
