Algorithm: cat2
Final accuracy: 0.9387
Final adversarial accuracy: 0.5425

Accuracy progression:
Round 1: 0.7075
Round 2: 0.8400
Round 3: 0.9075
Round 4: 0.9350
Round 5: 0.9363
Round 6: 0.9413
Round 7: 0.9363
Round 8: 0.9487
Round 9: 0.9487
Round 10: 0.9487
Round 11: 0.9387
Round 12: 0.9500
Round 13: 0.9513
Round 14: 0.9487
Round 15: 0.9425
Round 16: 0.9525
Round 17: 0.9475
Round 18: 0.9500
Round 19: 0.9450
Round 20: 0.9463
Round 21: 0.9450
Round 22: 0.9413
Round 23: 0.9413
Round 24: 0.9400
Round 25: 0.9400
Round 26: 0.9400
Round 27: 0.9400
Round 28: 0.9400
Round 29: 0.9400
Round 30: 0.9400
Round 31: 0.9387
Round 32: 0.9387
Round 33: 0.9387
Round 34: 0.9400
Round 35: 0.9400
Round 36: 0.9400
Round 37: 0.9387
Round 38: 0.9400
Round 39: 0.9387
Round 40: 0.9387
Round 41: 0.9375
Round 42: 0.9387
Round 43: 0.9375
Round 44: 0.9375
Round 45: 0.9387
Round 46: 0.9387
Round 47: 0.9387
Round 48: 0.9387
Round 49: 0.9387
Round 50: 0.9387

Adversarial accuracy progression:
Round 1: 0.1713
Round 2: 0.3450
Round 3: 0.6687
Round 4: 0.5687
Round 5: 0.5587
Round 6: 0.5737
Round 7: 0.4850
Round 8: 0.5088
Round 9: 0.5288
Round 10: 0.5225
Round 11: 0.3700
Round 12: 0.3575
Round 13: 0.3287
Round 14: 0.2838
Round 15: 0.3613
Round 16: 0.4213
Round 17: 0.4612
Round 18: 0.4612
Round 19: 0.4600
Round 20: 0.4150
Round 21: 0.4637
Round 22: 0.4738
Round 23: 0.5400
Round 24: 0.5350
Round 25: 0.5337
Round 26: 0.5325
Round 27: 0.5375
Round 28: 0.5288
Round 29: 0.5363
Round 30: 0.5375
Round 31: 0.5325
Round 32: 0.5400
Round 33: 0.5312
Round 34: 0.5337
Round 35: 0.5363
Round 36: 0.5413
Round 37: 0.5463
Round 38: 0.5387
Round 39: 0.5425
Round 40: 0.5375
Round 41: 0.5387
Round 42: 0.5425
Round 43: 0.5413
Round 44: 0.5450
Round 45: 0.5437
Round 46: 0.5437
Round 47: 0.5413
Round 48: 0.5437
Round 49: 0.5500
Round 50: 0.5425
