Algorithm: cat
Final accuracy: 0.9413
Final adversarial accuracy: 0.9775

Accuracy progression:
Round 1: 0.7025
Round 2: 0.8363
Round 3: 0.9012
Round 4: 0.9313
Round 5: 0.9387
Round 6: 0.9425
Round 7: 0.9487
Round 8: 0.9525
Round 9: 0.9487
Round 10: 0.9475
Round 11: 0.9500
Round 12: 0.9400
Round 13: 0.9413
Round 14: 0.9437
Round 15: 0.9300
Round 16: 0.9387
Round 17: 0.9400
Round 18: 0.9363
Round 19: 0.9375
Round 20: 0.9363
Round 21: 0.9375
Round 22: 0.9337
Round 23: 0.9387
Round 24: 0.9363
Round 25: 0.9275
Round 26: 0.9337
Round 27: 0.9337
Round 28: 0.9387
Round 29: 0.9350
Round 30: 0.9300
Round 31: 0.9363
Round 32: 0.9400
Round 33: 0.9313
Round 34: 0.9350
Round 35: 0.9375
Round 36: 0.9337
Round 37: 0.9325
Round 38: 0.9350
Round 39: 0.9363
Round 40: 0.9413
Round 41: 0.9400
Round 42: 0.9400
Round 43: 0.9400
Round 44: 0.9413
Round 45: 0.9375
Round 46: 0.9413
Round 47: 0.9437
Round 48: 0.9387
Round 49: 0.9425
Round 50: 0.9413

Adversarial accuracy progression:
Round 1: 0.1812
Round 2: 0.4700
Round 3: 0.7025
Round 4: 0.8000
Round 5: 0.8150
Round 6: 0.8838
Round 7: 0.9000
Round 8: 0.9263
Round 9: 0.9413
Round 10: 0.9213
Round 11: 0.9450
Round 12: 0.9200
Round 13: 0.9425
Round 14: 0.9375
Round 15: 0.9587
Round 16: 0.9325
Round 17: 0.9213
Round 18: 0.9375
Round 19: 0.9513
Round 20: 0.9387
Round 21: 0.9613
Round 22: 0.9663
Round 23: 0.9725
Round 24: 0.9738
Round 25: 0.9613
Round 26: 0.9788
Round 27: 0.9725
Round 28: 0.9525
Round 29: 0.9775
Round 30: 0.9712
Round 31: 0.9637
Round 32: 0.9788
Round 33: 0.9750
Round 34: 0.9675
Round 35: 0.9762
Round 36: 0.9838
Round 37: 0.9775
Round 38: 0.9825
Round 39: 0.9775
Round 40: 0.9762
Round 41: 0.9800
Round 42: 0.9675
Round 43: 0.9838
Round 44: 0.9875
Round 45: 0.9838
Round 46: 0.9888
Round 47: 0.9850
Round 48: 0.9912
Round 49: 0.9850
Round 50: 0.9775
