Algorithm: fedavg
Final accuracy: 0.9413
Final adversarial accuracy: 0.2525

Accuracy progression:
Round 1: 0.7300
Round 2: 0.8475
Round 3: 0.9087
Round 4: 0.9363
Round 5: 0.9387
Round 6: 0.9363
Round 7: 0.9337
Round 8: 0.9387
Round 9: 0.9475
Round 10: 0.9300
Round 11: 0.9325
Round 12: 0.9375
Round 13: 0.9413
Round 14: 0.9437
Round 15: 0.9450
Round 16: 0.9413
Round 17: 0.9400
Round 18: 0.9387
Round 19: 0.9425
Round 20: 0.9413
Round 21: 0.9413
Round 22: 0.9387
Round 23: 0.9413
Round 24: 0.9425
Round 25: 0.9437
Round 26: 0.9450
Round 27: 0.9450
Round 28: 0.9450
Round 29: 0.9450
Round 30: 0.9437
Round 31: 0.9450
Round 32: 0.9425
Round 33: 0.9425
Round 34: 0.9413
Round 35: 0.9425
Round 36: 0.9413
Round 37: 0.9425
Round 38: 0.9425
Round 39: 0.9425
Round 40: 0.9413
Round 41: 0.9413
Round 42: 0.9413
Round 43: 0.9425
Round 44: 0.9413
Round 45: 0.9413
Round 46: 0.9400
Round 47: 0.9413
Round 48: 0.9413
Round 49: 0.9413
Round 50: 0.9413

Adversarial accuracy progression:
Round 1: 0.1500
Round 2: 0.1475
Round 3: 0.1575
Round 4: 0.1713
Round 5: 0.1925
Round 6: 0.1975
Round 7: 0.2037
Round 8: 0.2188
Round 9: 0.2087
Round 10: 0.2025
Round 11: 0.2125
Round 12: 0.2025
Round 13: 0.2062
Round 14: 0.2062
Round 15: 0.2013
Round 16: 0.1988
Round 17: 0.2087
Round 18: 0.2188
Round 19: 0.2025
Round 20: 0.2238
Round 21: 0.2338
Round 22: 0.2425
Round 23: 0.2512
Round 24: 0.2437
Round 25: 0.2475
Round 26: 0.2387
Round 27: 0.2375
Round 28: 0.2462
Round 29: 0.2375
Round 30: 0.2387
Round 31: 0.2437
Round 32: 0.2525
Round 33: 0.2487
Round 34: 0.2450
Round 35: 0.2412
Round 36: 0.2500
Round 37: 0.2487
Round 38: 0.2462
Round 39: 0.2512
Round 40: 0.2462
Round 41: 0.2425
Round 42: 0.2475
Round 43: 0.2475
Round 44: 0.2537
Round 45: 0.2450
Round 46: 0.2450
Round 47: 0.2500
Round 48: 0.2462
Round 49: 0.2487
Round 50: 0.2525
